Data;Alaska;BTG;Exploritas;Real Investor;Opportunity
12/12/2019;2,5722153;1,0998415;1,250705;13,79020275;1,261383
11/12/2019;2,5500359;1,0996319;1,2339538;13,6995286;1,257622
10/12/2019;2,5067631;1,0994252;1,2264576;13,52775681;1,2559391
09/12/2019;2,4906528;1,0992168;1,2202257;13,53462321;1,2564872
06/12/2019;2,5009449;1,0990087;1,2035857;13,46222004;1,2570572
05/12/2019;2,4754974;1,0988006;1,1861653;13,28068634;1,2532633
04/12/2019;2,4663792;1,0985926;1,1791417;13,25154224;1,2527935
03/12/2019;2,4609734;1,0983847;1,1647646;13,10257378;1,2487115
02/12/2019;2,4588177;1,0981764;1,1607577;13,02417544;1,2463033
29/11/2019;2,4395025;1,0979684;1,1553046;12,97974231;1,2455371
28/11/2019;2,4388378;1,0977606;1,1547908;12,91954058;1,2467554
27/11/2019;2,4355591;1,0975524;1,1494941;12,82422099;1,244126
26/11/2019;2,4049481;1,0973448;1,1512566;12,80482665;1,2435903
25/11/2019;2,4362053;1,0971367;1,1646688;12,79195948;1,2474971
22/11/2019;2,4652771;1,0969289;1,1612499;12,78044092;1,248674
21/11/2019;2,4454862;1,0967202;1,1647275;12,62885578;1,2453553
20/11/2019;2,4145107;1,0965122;1,1504054;12,51250877;1,2441612
19/11/2019;2,4146635;1,0963042;1,1504054;12,51732003;1,2446286
18/11/2019;2,424055;1,0960958;1,1481225;12,54694375;1,2457192
14/11/2019;2,4202767;1,0958881;1,1455636;12,53843303;1,2469796
13/11/2019;2,4026926;1,0956807;1,1488338;12,42691687;1,2459482
12/11/2019;2,4133821;1,0954726;1,1607296;12,48268706;1,2476621
11/11/2019;2,4530652;1,0952651;1,1670877;12,58485606;1,2524071
08/11/2019;2,4352423;1,0950574;1,1725487;12,57325345;1,2496823
07/11/2019;2,4672901;1,0948498;1,1967492;12,67328902;1,2527753
06/11/2019;2,4205193;1,0946424;1,1988756;12,59847846;1,2522448
05/11/2019;2,4148569;1,0944348;1,2105255;12,54841708;1,2556557
04/11/2019;2,4177027;1,0942273;1,2050505;12,6451126;1,2556116
01/11/2019;2,4077002;1,094039;1,204768;12,52100162;1,256641
31/10/2019;2,3498888;1,0938125;1,2026022;12,35272243;1,2534086
30/10/2019;2,3443213;1,0935845;1,1975479;12,38350285;1,2568177
29/10/2019;2,300485;1,0933563;1,2024381;12,33538572;1,2531389
28/10/2019;2,3335;1,0931287;1,201631;12,31667257;1,2535449
25/10/2019;2,3212007;1,0929005;1,199638;12,20693286;1,250718
24/10/2019;2,3329569;1,0926724;1,1957655;12,21869582;1,2478406
23/10/2019;2,372011;1,0924447;1,1967769;12,29940141;1,2486016
22/10/2019;2,3811662;1,0922168;1,195265;12,31447917;1,2444822
21/10/2019;2,3598625;1,0919893;1,1871345;12,28378665;1,2421797
18/10/2019;2,3407173;1,0917616;1,1868804;12,16129289;1,2406509
17/10/2019;2,3539921;1,0915331;1,1901978;12,18011806;1,2392854
16/10/2019;2,3545967;1,0913053;1,1882467;12,14786152;1,2392854
15/10/2019;2,3462206;1,091076;1,1919593;12,14512154;1,2358034
14/10/2019;2,3569622;1,090849;1,1952585;12,19936682;1,2379486
11/10/2019;2,3359553;1,0906215;1,1936965;12,17761566;1,2371452
10/10/2019;2,2724461;1,0903943;1,1725259;11,95271944;1,2314978
09/10/2019;2,272741;1,0901674;1,1685635;11,8936722;1,2295804
08/10/2019;2,2355852;1,0899399;1,160597;11,8053693;1,2255658
07/10/2019;2,2668273;1,0897129;1,1635996;11,86129925;1,2265332
04/10/2019;2,3094797;1,0894858;1,1636642;12,04622532;1,232488
03/10/2019;2,2783721;1,0892588;1,162108;11,91266175;1,2286788
02/10/2019;2,2639032;1,0890319;1,151452;11,84178669;1,2244405
01/10/2019;2,3233963;1,088805;1,153227;12,07889288;1,2279326
30/09/2019;2,3330582;1,0885781;1,1526317;12,14927306;1,2299923
27/09/2019;2,3225908;1,0883501;1,1543121;12,06824506;1,2292312
26/09/2019;2,3128005;1,0881228;1,1515223;12,08029353;1,2291337
25/09/2019;2,3124243;1,0878954;1,1492821;12,07553131;1,2271769
24/09/2019;2,3085395;1,0876682;1,1469064;12,03258495;1,2253876
23/09/2019;2,3126493;1,0874415;1,1551987;12,14340707;1,2266548
20/09/2019;2,3076886;1,0872337;1,1572361;12,17425463;1,2269907
19/09/2019;2,2850287;1,0869877;1,1521641;12,21588719;1,2238818
18/09/2019;2,2816165;1,0867408;1,144304;12,16311119;1,2205851
17/09/2019;2,2622099;1,0864936;1,1364958;12,12032627;1,2198552
16/09/2019;2,2548146;1,0862469;1,1317996;12,06596814;1,2158296
13/09/2019;2,2347377;1,0860004;1,1353954;12,11886328;1,2103289
12/09/2019;2,2609568;1,0857533;1,1427277;12,19905644;1,2156919
11/09/2019;2,2230405;1,0855068;1,1373746;12,09460621;1,2147987
10/09/2019;2,1939786;1,0852601;1,1314885;11,96060125;1,2133202
09/09/2019;2,2073626;1,0850136;1,1266023;11,9605876;1,2145962
06/09/2019;2,2098499;1,0847671;1,1167637;11,99381137;1,2162115
05/09/2019;2,214679;1,0845204;1,112299;12,03521233;1,214312
04/09/2019;2,2114273;1,0842742;1,1063891;11,96430793;1,2144096
03/09/2019;2,1619875;1,0840276;1,1038632;11,92081741;1,2126074
02/09/2019;2,1895083;1,0837813;1,1162781;11,9965496;1,2129163
30/08/2019;2,1783786;1,0835354;1,1187874;12,01313958;1,2143818
29/08/2019;2,1929082;1,0832887;1,1050141;11,78850754;1,209383
28/08/2019;2,1235873;1,0830417;1,1119022;11,57964117;1,206854
27/08/2019;2,0874835;1,0827938;1,135669;11,54427652;1,2101394
26/08/2019;2,0717914;1,0825473;1,1546035;11,42728798;1,2094593
23/08/2019;2,1015642;1,0823008;1,1667778;11,53790193;1,2143036
22/08/2019;2,163261;1,0820539;1,1753768;11,75823208;1,2163966
21/08/2019;2,228958;1,081808;1,1757539;11,80220603;1,2181017
20/08/2019;2,2149397;1,0815617;1,1647083;11,66330906;1,2122336
19/08/2019;2,2293097;1,0813144;1,1662584;11,69959692;1,2122901
16/08/2019;2,23384;1,0810678;1,1815642;11,71928693;1,2151462
15/08/2019;2,203716;1,0808221;1,1894904;11,70558574;1,211761
14/08/2019;2,2425563;1,0805733;1,1878549;11,95641776;1,2111634
13/08/2019;2,3344611;1,0803242;1,2130554;12,22513173;1,2182522
12/08/2019;2,2872219;1,0800789;1,2317663;12,17548381;1,215623
09/08/2019;2,3268492;1,0798328;1,3413548;12,30198631;1,2190036
08/08/2019;2,3141569;1,0795856;1,3348468;12,16786088;1,2194927
07/08/2019;2,2729713;1,0793379;1,3231446;12,01914465;1,2142459
06/08/2019;2,2857564;1,0790915;1,3260768;11,95628142;1,2107193
05/08/2019;2,2447262;1,0788443;1,3240947;11,76622431;1,202315
02/08/2019;2,2969245;1,078617;1,3301252;11,93012198;1,2126637
01/08/2019;2,2725104;1,0783541;1,3408625;11,95185214;1,2125433
31/07/2019;2,2524589;1,0780887;1,3460661;11,92132953;1,2093278
30/07/2019;2,2543238;1,0778236;1,344007;11,9746314;1,2119469
29/07/2019;2,2545343;1,077557;1,3417064;11,96338535;1,2128164
26/07/2019;2,2348702;1,0772921;1,3451139;11,90196975;1,2123203
25/07/2019;2,2223407;1,0770272;1,3460952;11,87322908;1,2102962
24/07/2019;2,2389523;1,076762;1,3484673;11,98065444;1,2150592
23/07/2019;2,2402004;1,0764971;1,3511459;11,98995016;1,2133399
22/07/2019;2,2649084;1,0762325;1,3473624;11,99321203;1,2114319
19/07/2019;2,263988;1,0759679;1,3562664;12,01345182;1,2102216
18/07/2019;2,2953231;1,0757036;1,3499937;12,10259916;1,212543
17/07/2019;2,2671075;1,075439;1,3508909;12,0442964;1,210437
16/07/2019;2,2297032;1,0751747;1,3506526;11,99888573;1,2101741
15/07/2019;2,2201738;1,0749102;1,3511499;12,04268407;1,2111376
12/07/2019;2,2068732;1,0746461;1,3527642;11,98982619;1,2106538
11/07/2019;2,2141288;1,0743817;1,3480053;12,06283717;1,213326
10/07/2019;2,2417037;1,0741176;1,3494752;12,10472861;1,2139615
09/07/2019;2,2288513;1,0738535;1,3510905;12,04339103;1,20719
08/07/2019;2,2290166;1,0735897;1,3500298;12,04414195;1,2069381
05/07/2019;2,2004722;1,0733256;1,3374164;11,90005407;1,2030072
04/07/2019;2,167142;1,0730618;1,3357791;11,84204044;1,2029396
03/07/2019;2,1380842;1,0727978;1,3339739;11,6916595;1,1988532
02/07/2019;2,0961235;1,0725337;1,3339828;11,57240502;1,1958758
01/07/2019;2,0942591;1,0722703;1,3383313;11,52059475;1,1987534
28/06/2019;2,1023868;1,0720065;1,3337917;11,54016639;1,1978673
27/06/2019;2,0949237;1,0717415;1,3250925;11,4934042;1,1962916
26/06/2019;2,0812216;1,0714782;1,3224313;11,44457568;1,1947447
25/06/2019;2,0777943;1,0712146;1,324551;11,39751212;1,19375
24/06/2019;2,1165309;1,0709512;1,3266575;11,54938207;1,197309
21/06/2019;2,1120855;1,0706881;1,3209833;11,44542225;1,1969666
19/06/2019;2,0798527;1,0704246;1,3111759;11,3822724;1,1907651
18/06/2019;2,0517726;1,0701614;1,3088009;11,31113375;1,1880731
17/06/2019;2,0180499;1,0698983;1,3065163;11,16041122;1,1842986
14/06/2019;2,0470406;1,0696354;1,3035895;11,18014562;1,184993
13/06/2019;2,0529155;1,0693724;1,303166;11,20383522;1,1863685
12/06/2019;1,9977684;1,0691083;1,3014115;11,13228106;1,1847268
11/06/2019;2,0109632;1,0688455;1,2896501;11,16116732;1,1861546
10/06/2019;1,9836113;1,0685837;1,2734168;11,06340046;1,1824407
07/06/2019;1,9740292;1,0683204;1,2764445;11,10584499;1,181623
06/06/2019;1,9504635;1,0680576;1,2829011;11,03931474;1,1788955
05/06/2019;1,9592537;1,0677952;1,2933946;10,96011972;1,1759475
04/06/2019;1,9781226;1,0675325;1,2894278;11,00580466;1,1798554
03/06/2019;2,0152174;1,0672676;1,2857283;10,9675007;1,1754975
31/05/2019;2,0273775;1,0670051;1,2847584;10,91860067;1,1732349
30/05/2019;2,0128017;1,0667429;1,2821363;10,8497533;1,1732013
29/05/2019;2,0096213;1,0664807;1,2791969;10,77435722;1,1711739
28/05/2019;2,0062661;1,0662171;1,2749356;10,81885451;1,1688395
27/05/2019;1,9704441;1,0659552;1,2742931;10,69673136;1,1644018
24/05/2019;1,9395018;1,0656931;1,268866;10,5725166;1,162928
23/05/2019;1,9729136;1,0654312;1,2624038;10,65898574;1,1629594
22/05/2019;1,9775015;1,0651694;1,2621666;10,68453282;1,1630597
21/05/2019;1,9735118;1,0649071;1,2610852;10,69766464;1,1623347
20/05/2019;1,9097438;1,0646447;1,2508058;10,51578031;1,1558741
17/05/2019;1,8707484;1,064383;1,2544146;10,3912778;1,1521724
16/05/2019;1,8643396;1,0641216;1,2588578;10,36944704;1,155355
15/05/2019;1,9113396;1,0638596;1,2682106;10,50038877;1,1586614
14/05/2019;1,9464968;1,0635982;1,2694852;10,53770367;1,1588708
13/05/2019;1,9480199;1,0633368;1,2677507;10,52134239;1,1571074
10/05/2019;2,0112267;1,0630753;1,2783051;10,69463847;1,1616108
09/05/2019;2,0163863;1,0628137;1,2805566;10,73742988;1,1606063
08/05/2019;2,0372716;1,0625517;1,2648936;10,67289743;1,1607692
07/05/2019;2,0258708;1,0622905;1,2521616;10,59718881;1,1572465
06/05/2019;2,0588505;1,0620296;1,2545481;10,61155018;1,1583061
03/05/2019;2,0673544;1,0617664;1,2543876;10,62891324;1,159764
02/05/2019;2,0530105;1,0615054;1,2438688;10,59735282;1,1565297
30/04/2019;2,0794001;1,0612447;1,2431252;10,58209312;1,158967
29/04/2019;2,0598578;1,060984;1,2404173;10,57339536;1,1575835
26/04/2019;2,0613982;1,0607232;1,241902;10,55831224;1,1581683
25/04/2019;2,0576688;1,0604628;1,2437057;10,54542808;1,1585128
24/04/2019;2,0360079;1,0602034;1,2473301;10,39596241;1,1564015
23/04/2019;2,0425345;1,0599421;1,2584024;10,4781725;1,1608227
22/04/2019;2,037086;1,0596807;1,2539363;10,37481569;1,1568648
18/04/2019;2,0518921;1,0594196;1,2537817;10,33820577;1,1556153
17/04/2019;2,025859;1,0591594;1,2419327;10,29170554;1,1528335
16/04/2019;2,0456635;1,0588991;1,2373231;10,33503087;1,1551306
15/04/2019;2,0411173;1,0586369;1,2370189;10,26622339;1,1539304
12/04/2019;2,0509853;1,0583771;1,2370556;10,28388496;1,1521803
11/04/2019;2,0809685;1,0581176;1,2414579;10,42257071;1,1558961
10/04/2019;2,0893376;1,0578578;1,2419961;10,51619161;1,1592645
09/04/2019;2,1005092;1,0575966;1,2391851;10,55559441;1,1580362
08/04/2019;2,1244508;1,0573369;1,2440043;10,60735776;1,1605004
05/04/2019;2,126587;1,0570772;1,2460954;10,61976449;1,1604898
04/04/2019;2,1300233;1,0568169;1,2476788;10,56301132;1,1586697
03/04/2019;2,1118859;1,0565572;1,2452703;10,48640119;1,1553396
02/04/2019;2,1336844;1,0562974;1,2465655;10,51800253;1,1580412
01/04/2019;2,1463836;1,0560389;1,2453958;10,53535077;1,1583422
29/03/2019;2,1399466;1,05578;1,2461952;10,46771781;1,1547462
28/03/2019;2,1292708;1,0555207;1,2411168;10,37304712;1,1541512
27/03/2019;2,0895254;1,0552594;1,2200699;10,16048768;1,1454663
26/03/2019;2,1550709;1,0550006;1,2378995;10,45592924;1,1567932
25/03/2019;2,1313929;1,0547412;1,2469261;10,34057465;1,155922
22/03/2019;2,1306452;1,0544813;1,2443027;10,3730356;1,1540797
21/03/2019;2,181708;1,0542226;1,2532102;10,61871828;1,1667278
20/03/2019;2,181167;1,0539632;1,2621473;10,68917931;1,1703152
19/03/2019;2,2035725;1,0537048;1,2584982;10,79646371;1,1698421
18/03/2019;2,2260574;1,0534466;1,2689506;10,84388786;1,1697688
15/03/2019;2,2033083;1,0531847;1,2658453;10,80654509;1,1664216
14/03/2019;2,1986549;1,05293;1,2653939;10,76351085;1,1642054
13/03/2019;2,2015625;1,0526754;1,2623639;10,79177111;1,1668875
12/03/2019;2,1931074;1,0524206;1,2577293;10,69612055;1,1631785
11/03/2019;2,2179667;1,0521656;1,2506045;10,67675404;1,1616922
08/03/2019;2,1876048;1,051911;1,2442184;10,52664569;1,1561645
07/03/2019;2,1659607;1,0516544;1,2500045;10,38999296;1,1532859
06/03/2019;2,1505282;1,0513997;1,2526925;10,41750482;1,1531112
01/03/2019;2,1689634;1,0511455;1,2574025;10,49615555;1,1525606
28/02/2019;2,1788248;1,050891;1,2613885;10,48450242;1,1529273
27/02/2019;2,2029554;1,0506366;1,2547079;10,61361219;1,1550297
26/02/2019;2,2237512;1,0503822;1,2515559;10,59750019;1,1541453
25/02/2019;2,2057578;1,0501282;1,2528001;10,63155149;1,1539558
22/02/2019;2,2173364;1,0498741;1,2524875;10,62331784;1,155237
21/02/2019;2,1816517;1,0496191;1,2625478;10,58306175;1,1533531
20/02/2019;2,1761489;1,049365;1,2620593;10,62578179;1,1534421
19/02/2019;2,2033033;1,049111;1,263595;10,71866806;1,1566354
18/02/2019;2,1805829;1,0488572;1,2712921;10,64213512;1,153366
15/02/2019;2,1885287;1,0486032;1,274872;10,71332801;1,1574955
14/02/2019;2,1969685;1,0483497;1,2691499;10,69810466;1,1551785
13/02/2019;2,1624163;1,0480959;1,267122;10,53314345;1,149356
12/02/2019;2,1630013;1,0478425;1,2528311;10,54786721;1,1482797
11/02/2019;2,1505556;1,0475892;1,2475298;10,39676462;1,1426327
08/02/2019;2,1624184;1,0473357;1,2493318;10,48321828;1,1443757
07/02/2019;2,1588622;1,0470824;1,2493069;10,43221193;1,1457185
06/02/2019;2,1630661;1,046829;1,2510625;10,49803677;1,1491742
05/02/2019;2,2202391;1,0465757;1,2512498;10,69450491;1,1559144
04/02/2019;2,2110751;1,0463226;1,2455093;10,66204628;1,1564134
01/02/2019;2,2052776;1,0460691;1,2459739;10,59169807;1,1563309
31/01/2019;2,1876727;1,0458161;1,2455729;10,47058948;1,1538043
30/01/2019;2,2066863;1,0455624;1,2384589;10,46510569;1,1454635
29/01/2019;2,1772862;1,0453097;1,226243;10,37428674;1,1427427
28/01/2019;2,1665447;1,0450565;1,2230979;10,36753964;1,1388427
25/01/2019;2,2062326;1,0448038;1,2203013;10,41699808;1,1424014
24/01/2019;2,2063598;1,044551;1,2196771;10,41178735;1,1419929
23/01/2019;2,1711746;1,0442978;1,2141213;10,32910929;1,1404516
22/01/2019;2,1315003;1,0440453;1,2162429;10,21949293;1,1360609
21/01/2019;2,1535681;1,0437927;1,2214379;10,27865609;1,1367537
18/01/2019;2,1482688;1,0435403;1,2169309;10,24280202;1,1362578
17/01/2019;2,1439785;1,0432877;1,2162546;10,17466604;1,1347192
16/01/2019;2,1351776;1,0430357;1,2199803;10,08717108;1,132067
15/01/2019;2,1214414;1,0427837;1,2246996;10,10565658;1,1309759
14/01/2019;2,101241;1,0425313;1,2137788;10,10696786;1,1336394
11/01/2019;2,0757599;1,0422793;1,209642;9,97728318;1,1303444
10/01/2019;2,0832502;1,042027;1,1973446;9,80056937;1,1308834
09/01/2019;2,0769534;1,0417747;1,1937303;9,69735597;1,1319435
08/01/2019;2,0460864;1,0415222;1,1869503;9,56628544;1,1262188
07/01/2019;2,0444752;1,0412702;1,1916791;9,49501587;1,1241893
04/01/2019;2,0514819;1,0410186;1,1885598;9,58322915;1,1258807
03/01/2019;2,0505291;1,0407663;1,1788403;9,6137827;1,1221631
02/01/2019;2,0568812;1,0405141;1,1671677;9,55078546;1,1196081
31/12/2018;2,0046226;1,0402622;1,1642009;9,33826368;1,109876
28/12/2018;2,0047312;1,0400105;1,1598523;9,33851813;1,1095462
27/12/2018;1,9425153;1,039758;1,1595977;9,18351106;1,1040411
26/12/2018;1,9592755;1,0395067;1,1609395;9,10845858;1,101918
24/12/2018;1,9818677;1,0392554;1,1541847;9,18611088;1,1008261
21/12/2018;1,9819957;1,0390043;1,1563009;9,18920544;1,1011389
20/12/2018;1,9549625;1,0387524;1,1573157;9,13047134;1,1019598
19/12/2018;1,9663984;1,0385008;1,1607498;9,13786712;1,1006037
18/12/2018;1,9711657;1,0382486;1,1644734;9,2211364;1,1001443
17/12/2018;1,9614108;1,0379959;1,1631912;9,11604932;1,100074
14/12/2018;1,9689708;1,0377453;1,1666006;9,23397491;1,1023784
13/12/2018;1,9714618;1,0374942;1,1730889;9,23400936;1,1028574
12/12/2018;1,9658674;1,0372427;1,1773083;9,16954416;1,1001865
11/12/2018;1,9504595;1,0369912;1,1805264;9,15208;1,0964678
10/12/2018;1,9412667;1,0367399;1,1801768;9,08372727;1,0955618
07/12/2018;1,9861589;1,0364901;1,1811784;9,17146858;1,1001189
06/12/2018;2,0003009;1,0362395;1,1841948;9,19269834;1,1018202
05/12/2018;2,0222872;1,0359888;1,1856392;9,13688466;1,1020897
04/12/2018;2,0195446;1,0357369;1,1849443;9,0139081;1,1015372
03/12/2018;2,0492188;1,035487;1,1915389;9,07759978;1,105544
30/11/2018;2,0444786;1,0352359;1,1851121;9,0318018;1,1037052
29/11/2018;2,0542742;1,0349854;1,1773569;9,08893807;1,1028698
28/11/2018;2,0398254;1,0347345;1,169975;9,03746308;1,1023725
27/11/2018;2,023258;1,0344837;1,1734567;8,83340761;1,0968024
26/11/2018;1,9699843;1,0342346;1,1812271;8,67057787;1,0928845
23/11/2018;1,9903988;1,033984;1,1671143;8,72046271;1,0976507
22/11/2018;2,0222678;1,0337333;1,165166;8,77345956;1,0981856
21/11/2018;2,0003682;1,0334825;1,1602697;8,7828213;1,0972341
20/11/2018;2,0139955;1,0332328;1,1579457;8,76437273;1,0963304
19/11/2018;2,0141055;1,0329823;1,1619245;8,76517279;1,0967502
16/11/2018;2,0305089;1,0327338;1,1579364;8,80576609;1,0989342
14/11/2018;1,9887011;1,0324835;1,1684381;8,59100535;1,0888835
13/11/2018;1,9496191;1,0322345;1,1645371;8,51302308;1,0844713
12/11/2018;1,9573399;1,031988;1,1636505;8,55228355;1,0872831
09/11/2018;1,9453742;1,0317386;1,1661522;8,49559709;1,089024
08/11/2018;1,9671169;1,0314891;1,1679322;8,4339547;1,0897307
07/11/2018;2,0198658;1,0312398;1,1782615;8,57880853;1,0950128
06/11/2018;2,0523132;1,0309902;1,1769376;8,63491117;1,0965146
05/11/2018;2,1049303;1,0307404;1,1716311;8,64460304;1,09802
01/11/2018;2,0647425;1,0304926;1,1687789;8,58023495;1,0962898
31/10/2018;2,0551202;1,0302431;1,1668704;8,44159896;1,0931063
30/10/2018;2,0212315;1,0299921;1,1628231;8,41743304;1,0921655
29/10/2018;1,9916854;1,029747;1,1759843;8,23768809;1,0866079
26/10/2018;2,0366169;1,029501;1,1824858;8,30102935;1,0900678
25/10/2018;2,0303704;1,0292525;1,1880426;8,25301039;1,0833147
24/10/2018;2,0148487;1,0290032;1,1902639;8,19757422;1,0816245
23/10/2018;2,0472779;1,0287538;1,1900723;8,25854954;1,0870519
22/10/2018;2,0464736;1,0285057;1,1861522;8,17947403;1,0875628
19/10/2018;2,0204319;1,0282577;1,1902289;8,09774667;1,0836238
18/10/2018;1,9965346;1,0280088;1,1844783;8,09261091;1,0831711
17/10/2018;2,0167085;1,0277599;1,1847363;8,15918847;1,0875057
16/10/2018;2,0013535;1,0275103;1,1861582;8,02753122;1,0847763
15/10/2018;1,9451693;1,0272614;1,184923;7,89703557;1,0767239
11/10/2018;1,9453332;1,0270118;1,1843928;7,91337116;1,0716805
10/10/2018;1,9366114;1,0267613;1,1735181;7,95492661;1,0724199
09/10/2018;1,9912342;1,0265111;1,1595803;8,09188089;1,0787805
08/10/2018;1,9872106;1,026262;1,153749;8,01911839;1,0750715
05/10/2018;1,924364;1,0260133;1,1372897;7,74468964;1,0665563
04/10/2018;1,9269246;1,0257629;1,1306719;7,67803671;1,0693026
03/10/2018;1,9309852;1,0255114;1,1200656;7,65474623;1,0692828
02/10/2018;1,891302;1,0252627;1,1163173;7,51171451;1,0660528
01/10/2018;1,8229226;1,0250118;1,1201226;7,34469188;1,0631697
28/09/2018;1,8282539;1,0247639;1,1086368;7,67231788;1,0632037
27/09/2018;1,8451925;1,0245164;1,1086846;7,69776554;1,0643144
26/09/2018;1,817974;1,0242669;1,1103907;7,59906908;1,0621731
25/09/2018;1,8274129;1,0240169;1,1088708;7,63095684;1,0620441
24/09/2018;1,7992127;1,0237695;1,1141374;7,63513021;1,061346
21/09/2018;1,8280685;1,0235224;1,1140097;7,69607688;1,0612175
20/09/2018;1,799882;1,0232748;1,1039548;7,63686409;1,0596624
19/09/2018;1,8095781;1,0230248;1,1031516;7,68000463;1,0592583
18/09/2018;1,8309292;1,0227786;1,099624;7,70322783;1,0593873
17/09/2018;1,7931292;1,0225287;1,101027;7,65767231;1,0583443
14/09/2018;1,7720205;1,0222891;1,098399;7,55372605;1,0570112
13/09/2018;1,7578548;1,0220298;1,094067;7,58948072;1,0564695
12/09/2018;1,7794062;1,021779;1,1013025;7,6691647;1,0555859
11/09/2018;1,7751803;1,0215294;1,0952365;7,70174126;1,0542173
10/09/2018;1,801052;1,0212808;1,097408;7,7604903;1,0553386
